iter	Passed	Remaining
0	2	2353
1	4	2105
2	6	2129
3	8	2119
4	9	1966
5	12	1992
6	14	2002
7	15	1944
8	17	1960
9	19	1966
10	21	1920
11	22	1883
12	24	1854
13	26	1872
14	28	1898
15	30	1868
16	32	1897
17	34	1879
18	36	1867
19	38	1881
20	40	1900
21	43	1920
22	45	1933
23	47	1940
24	49	1913
25	51	1920
26	53	1924
27	55	1927
28	57	1929
29	59	1928
30	61	1918
31	63	1919
32	65	1920
33	67	1919
34	69	1921
35	71	1923
36	73	1915
37	75	1916
38	77	1903
39	78	1881
40	80	1871
41	82	1875
42	83	1864
43	86	1869
44	88	1870
45	90	1878
46	93	1887
47	94	1884
48	96	1874
49	98	1877
50	101	1879
51	103	1887
52	106	1900
53	108	1901
54	110	1902
55	113	1905
56	114	1898
57	116	1888
58	118	1888
59	120	1889
60	122	1889
61	124	1888
62	127	1890
63	128	1875
64	129	1861
65	131	1863
66	133	1863
67	136	1864
68	138	1863
69	140	1863
70	141	1855
71	143	1845
72	144	1837
73	146	1837
74	149	1839
75	150	1829
76	152	1829
77	154	1828
78	156	1828
79	158	1821
80	160	1822
81	162	1822
82	164	1822
83	166	1814
84	168	1810
85	169	1799
86	171	1795
87	173	1794
88	175	1794
89	177	1794
90	179	1793
91	181	1792
92	183	1785
93	185	1786
94	187	1787
95	189	1787
96	191	1786
97	193	1785
98	195	1781
99	197	1781
100	200	1780
101	202	1779
102	204	1778
103	205	1769
104	207	1768
105	209	1767
106	211	1763
107	213	1763
108	215	1763
109	217	1762
110	220	1762
111	222	1761
112	224	1761
113	226	1760
114	228	1756
115	229	1749
116	231	1750
117	234	1749
118	236	1751
119	239	1752
120	241	1752
121	243	1752
122	245	1751
123	247	1750
124	249	1746
125	252	1748
126	253	1742
127	256	1745
128	259	1748
129	261	1750
130	263	1751
131	267	1756
132	269	1759
133	271	1753
134	274	1756
135	276	1755
136	279	1758
137	281	1760
138	284	1759
139	286	1759
140	288	1759
141	291	1760
142	293	1755
143	294	1753
144	296	1749
145	299	1752
146	301	1748
147	304	1755
148	307	1758
149	310	1759
150	312	1758
151	316	1764
152	319	1767
153	321	1764
154	323	1763
155	326	1767
156	329	1771
157	332	1771
158	336	1778
159	338	1779
160	342	1783
161	345	1786
162	348	1788
163	350	1787
164	352	1786
165	355	1784
166	358	1789
167	361	1788
168	362	1784
169	365	1783
170	367	1782
171	369	1780
172	372	1781
173	375	1784
174	377	1781
175	380	1781
176	382	1777
177	384	1775
178	386	1774
179	390	1780
180	393	1779
181	395	1778
182	398	1777
183	399	1770
184	401	1768
185	405	1773
186	407	1771
187	409	1769
188	411	1765
189	413	1763
190	415	1761
191	418	1760
192	421	1763
193	423	1759
194	426	1760
195	428	1759
196	430	1753
197	432	1751
198	436	1755
199	437	1750
200	439	1748
201	442	1746
202	444	1744
203	446	1741
204	448	1739
205	451	1739
206	453	1736
207	454	1730
208	456	1728
209	458	1725
210	461	1724
211	463	1723
212	466	1722
213	468	1720
214	470	1718
215	472	1716
216	475	1715
217	478	1715
218	480	1714
219	483	1715
220	486	1714
221	488	1712
222	491	1712
223	493	1710
224	496	1710
225	498	1708
226	501	1707
227	503	1705
228	506	1704
229	508	1702
230	510	1700
231	513	1700
232	516	1698
233	518	1698
234	520	1693
235	522	1692
236	525	1691
237	527	1689
238	529	1687
239	532	1684
240	534	1682
241	536	1679
242	538	1677
243	540	1675
244	543	1674
245	544	1668
246	546	1665
247	548	1662
248	550	1660
249	552	1657
250	555	1657
251	557	1655
252	559	1652
253	561	1650
254	563	1647
255	566	1644
256	568	1642
257	569	1639
258	571	1633
259	573	1631
260	575	1629
261	577	1626
262	579	1624
263	581	1621
264	583	1619
265	586	1617
266	588	1615
267	590	1613
268	592	1610
269	594	1608
270	596	1605
271	599	1603
272	601	1600
273	603	1599
274	605	1597
275	607	1594
276	609	1591
277	612	1589
278	614	1587
279	616	1585
280	618	1582
281	620	1580
282	622	1577
283	624	1575
284	627	1573
285	629	1570
286	631	1568
287	633	1566
288	635	1562
289	637	1559
290	639	1557
291	641	1554
292	643	1552
293	645	1549
294	648	1549
295	650	1548
296	653	1546
297	655	1544
298	657	1542
299	660	1540
300	662	1538
301	665	1538
302	668	1538
303	671	1537
304	673	1535
305	676	1534
306	679	1533
307	682	1533
308	684	1531
309	687	1529
310	689	1528
311	691	1525
312	694	1523
313	697	1524
314	700	1523
315	703	1521
316	705	1519
317	707	1517
318	710	1515
319	713	1515
320	715	1513
321	717	1511
322	720	1510
323	722	1508
324	726	1508
325	729	1508
326	732	1506
327	734	1505
328	737	1503
329	739	1501
330	743	1503
331	746	1501
332	748	1498
333	751	1497
334	753	1495
335	756	1494
336	759	1493
337	761	1491
338	763	1488
339	766	1487
340	768	1485
341	770	1482
342	773	1482
343	776	1479
344	778	1478
345	780	1476
346	783	1473
347	785	1471
348	788	1471
349	791	1469
350	793	1467
351	795	1464
352	797	1462
353	799	1459
354	803	1460
355	806	1458
356	808	1456
357	811	1454
358	813	1452
359	815	1450
360	819	1450
361	822	1448
362	823	1445
363	826	1443
364	827	1440
365	830	1438
366	832	1436
367	834	1433
368	837	1431
369	839	1428
370	841	1427
371	844	1425
372	845	1421
373	848	1420
374	851	1418
375	853	1416
376	855	1414
377	857	1411
378	859	1408
379	861	1405
380	863	1403
381	865	1400
382	867	1397
383	869	1394
384	871	1391
385	872	1388
386	874	1385
387	877	1383
388	879	1380
389	881	1377
390	883	1375
391	885	1372
392	887	1370
393	889	1367
394	891	1365
395	893	1362
396	895	1359
397	897	1357
398	899	1354
399	901	1351
400	903	1349
401	905	1346
402	907	1343
403	908	1340
404	910	1337
405	912	1334
406	914	1332
407	916	1329
408	918	1326
409	920	1324
410	922	1321
411	924	1319
412	926	1316
413	928	1314
414	931	1312
415	933	1309
416	934	1306
417	936	1304
418	938	1301
419	940	1299
420	942	1296
421	944	1294
422	946	1290
423	948	1288
424	950	1285
425	952	1283
426	954	1280
427	956	1278
428	958	1275
429	960	1273
430	962	1270
431	964	1268
432	966	1266
433	968	1262
434	970	1260
435	972	1258
436	974	1255
437	976	1253
438	978	1250
439	979	1246
440	981	1244
441	983	1241
442	985	1239
443	988	1237
444	990	1234
445	992	1232
446	994	1229
447	996	1227
